"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"co157","Queen Victoria Museum and Art Gallery - Mammals","","Records provided by Queen Victoria Museum and Art Gallery - Mammals, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co157","","","","156"
"co111","Tasmanian Museum and Art Gallery Vertebrate Collection","","Records provided by Tasmanian Museum and Art Gallery Vertebrate Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co111","","","","90"
"co274","Museums Victoria DNA Laboratory","","Records provided by Museums Victoria DNA Laboratory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co274","","","","38"
"co150","Queensland Museum Mammals","","Records provided by Queensland Museum Mammals, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co150","","","","445"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","108"
"co151","Queensland Museum Birds","","Records provided by Queensland Museum Birds, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co151","","","","8"
"dr8128","Australian Platypus Conservancy","10.15468/jqg4g8","Australian Platypus Conservancy","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr8128","","","","2847"
"dr1097","Victorian Biodiversity Atlas","10.15468/khlfs3","Data Source: 'Victorian Biodiversity Atlas', (c) The State of Victoria, Department of Environment, Land, Water & Planning (published [month, year]).","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Copyright in the data and materials resides with the copyright owners as indicated next to the detailed records. In any reproduction, distribution or publication of the data, or in any use or adaptation of the data to create derivative works, the user must include a citation which attributes the source of the data and the date the data was published, as follows: Data Source: 'Victorian Biodiversity Atlas', © The State of Victoria, Department of Environment and Primary Industries (published [month, year]).","For more information: https://collections.ala.org.au/public/show/dr1097","","","","6037"
"co118","Museums Victoria Mammalogy Collection","","Records provided by Museums Victoria Mammalogy Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co118","","","","833"
"dp3301","NatureMapr","","Records provided by NatureMapr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3301","","","","40"
"dr1132","WildNet - Queensland Wildlife Data","10.15468/lxgoyb","Queensland Government","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1132","","","","3472"
"dr344","Queensland Museum provider for OZCAM","10.15468/lotsye","Queensland Museum, http://www.qm.qld.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr344","","","","453"
"dr343","Northern Territory Museum and Art Gallery provider for OZCAM","10.15468/giro3a","Northern Territory Museum and Art Gallery, https://www.magnt.net.au/","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr343","","","","37"
"dr585","Barry Armstead Photography","doi:10.15468/encvvy","Photo by: Barry Armstead Photography
http://barryarmsteadphotography.webs.com","CC-BY-NC","For more information: https://collections.ala.org.au/public/show/dr585","","","","2"
"dr346","South Australian Museum Australia provider for OZCAM","10.15468/wz4rrh","South Australian Museum, http://www.samuseum.sa.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr346","","","","144"
"dr345","Queen Victoria Museum Art Gallery provider for OZCAM","10.15468/tedfxn","Queen Victoria Museum and Art Gallery, http://www.qvmag.tas.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr345","","","","156"
"dr1411","iNaturalist Australia","","iNaturalist.org: iNaturalist Research-grade Observations. doi:10.15468/ab3s5x
Accessed via http://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7 on 2017-03-16","CC-BY-NC-Int","For more information: https://collections.ala.org.au/public/show/dr1411","","","","37"
"dr340","Australian Museum provider for OZCAM","10.15468/e7susi","Australian Museum, http://australianmuseum.net.au/","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr340","","","","995"
"in22","South Australian Museum","","Records provided by South Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in22","","","","144"
"dr342","Museums Victoria provider for OZCAM","10.15468/lp1ctu","Museums Victoria, http://museumvictoria.com.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr342","","","","930"
"dp3227","FieldData / Biological Data Recording System","","Records provided by FieldData / Biological Data Recording System, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3227","","","","1"
"dr341","Australian National Wildlife Collection provider for OZCAM","10.15468/gscnac","Australian National Wildlife Collection, CSIRO, http://www.csiro.au/","CC-BY Data is available under the Creative Commons Attribution 3.0 Australia license.  Sound files associated with specimen records are not available for download and re-use. Please contact the Australian National Wildlife Collection for more information.","For more information: https://collections.ala.org.au/public/show/dr341","","","","378"
"in25","Tasmanian Museum and Art Gallery","","Records provided by Tasmanian Museum and Art Gallery, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in25","","","","90"
"dr14081","Albury Wodonga Nature Map","","Albury Wodonga Nature Map","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr14081","","","","2"
